epoch,time,state
1,1383688023.98,754.25
2,1383688041.02,676.037109375
3,1383688053.76,635.643600464
4,1383688057.78,655.187034607
4,1383688067.93,630.395018578
4,1383688071.94,613.353485078
5,1383688083.98,600.997947646
6,1383688100.02,635.974871206
7,1383688112.05,617.206196109
8,1383688129.06,640.516965523
9,1383688141.56,617.826767974
10,1383688159.62,640.51475352
10,1383688163.62,616.384666136
11,1383688175.66,603.733990862
12,1383688179.67,603.733990862
12,1383688191.71,631.031489905
13,1383688203.75,640.097702635
14,1383688221.76,586.301863766
15,1383688233.79,618.909296431
16,1383688249.87,631.725999225
17,1383688261.96,636.770418643
17,1383688265.96,606.556221768
18,1383688277.99,599.590133752
19,1383688282.38,619.283474585
19,1383688291.2,619.283474585
20,1383688311.25,627.308214726
21,1383688323.82,631.358360765
22,1383688339.88,633.084381536
23,1383688356.82,633.311374816
24,1383688368.84,610.688379454
25,1383688386.93,621.962948082
25,1383688386.93,627.187817338
26,1383688398.97,629.056349551
26,1383688398.97,595.98407661
27,1383688417.76,594.330284403
27,1383688417.76,593.503388299
28,1383688429.83,611.750221335
29,1383688444.63,616.278694564
29,1383688448.9,598.435310147
30,1383688459.93,598.435310147
30,1383688459.93,609.486287075
31,1383688475.99,590.72131577
32,1383688492.03,604.292728177
33,1383688506.22,585.734334992
34,1383688518.25,599.755711166
35,1383688534.31,605.713164861
36,1383688550.38,608.180063882
37,1383688562.42,590.181906617
38,1383688578.46,598.809344473
39,1383688597.08,602.799775488
40,1383688606.12,603.489752158
41,1383688626.18,603.992711348
42,1383688642.21,604.313069187
43,1383688656.62,604.461540195
44,1383688668.64,582.032127769
45,1383688681.24,593.107466092
46,1383688697.28,581.396195113
47,1383688703.75,591.032037661
47,1383688715.77,595.771341956
48,1383688719.79,595.771341956
48,1383688728.34,577.533666094
50,1383688760.05,573.747977828
52,1383688788.13,572.03769382
54,1383688819.22,585.187038748
55,1383688831.27,575.81038369
56,1383688835.3,574.276633757
56,1383688851.35,584.910919671
58,1383688868.81,588.217661467
58,1383688877.66,589.983091535
59,1383688878.81,580.665791998
60,1383688910.46,576.241657234
61,1383688911.1,583.69625833
61,1383688927.15,586.584522669
62,1383688939.18,579.964158534
63,1383688955.22,583.839675732
64,1383688967.57,578.95259016
65,1383688983.63,576.917813892
65,1383688983.64,582.215891355
66,1383689000.67,583.775853665
67,1383689012.72,585.288959501
67,1383689017.08,580.256320751
68,1383689029.1,578.45717866
69,1383689043.84,581.935902169
69,1383689048.72,583.769073918
70,1383689060.74,580.019885408
71,1383689073.57,577.679202226
72,1383689089.6,575.732162035
73,1383689101.65,575.295226653
74,1383689117.85,573.115089164
75,1383689131.75,578.789857128
75,1383689138.04,575.828026471
76,1383689138.04,571.287766517
76,1383689148.18,577.555789143
76,1383689152.18,579.824282664
77,1383689162.12,575.917034777
77,1383689166.14,579.243675958
78,1383689179.07,575.619560288
79,1383689195.12,578.302763618
80,1383689195.9,576.027509244
80,1383689208.69,577.798626812
81,1383689224.74,575.385691899
82,1383689240.78,573.715272396
83,1383689255.81,576.931627294
84,1383689268.98,574.583495793
84,1383689273.0,576.975164037
85,1383689285.03,577.573081098
86,1383689297.08,574.553546206
86,1383689301.08,574.650967936
87,1383689313.65,577.033104638
88,1383689329.7,575.617614096
89,1383689342.47,575.377630188
90,1383689350.55,577.398690793
90,1383689358.56,577.73135946
91,1383689374.48,574.364471721
92,1383689386.96,572.74757017
93,1383689407.01,573.19333592
94,1383689419.05,574.286607825
95,1383689421.32,576.519562188
95,1383689423.13,575.265034039
95,1383689431.46,575.265034039
96,1383689447.52,574.531539624
97,1383689463.98,574.093990394
98,1383689480.03,576.142487229
99,1383689492.5,576.94318432
