epoch,time,state
1,1383688024.07,465.28125
2,1383688027.08,465.28125
2,1383688039.11,546.75390625
3,1383688055.16,554.146972656
4,1383688071.2,556.973461151
5,1383688087.26,560.210520561
6,1383688099.29,558.831999525
7,1383688115.33,561.426846915
8,1383688127.62,562.075558763
9,1383688143.66,560.943927083
10,1383688156.1,560.099899518
11,1383688173.52,561.267150668
12,1383688190.42,563.713872354
13,1383688202.87,565.742006129
14,1383688221.52,565.534839564
15,1383688233.56,564.541227013
16,1383688249.62,562.115317089
17,1383688267.69,562.913907596
18,1383688282.73,565.550509189
19,1383688297.76,564.805797358
20,1383688297.77,564.433441442
20,1383688311.61,563.670482009
21,1383688323.65,563.327298791
22,1383688342.7,563.872617665
23,1383688357.73,563.568151755
24,1383688370.53,564.604463838
25,1383688386.57,563.689586484
26,1383688401.01,563.719414397
26,1383688401.02,563.276358907
27,1383688413.05,563.50534363
28,1383688429.87,565.034488062
29,1383688446.19,565.566726035
30,1383688462.22,565.235379853
31,1383688477.27,565.187918771
32,1383688492.31,565.355082969
33,1383688501.25,565.420403798
34,1383688517.3,565.461338851
35,1383688536.47,565.138887804
35,1383688536.48,564.97766228
36,1383688551.51,565.149121567
37,1383688564.27,567.092446979
38,1383688565.26,567.092446979
38,1383688580.34,566.485021415
39,1383688592.63,567.012428411
40,1383688611.68,567.144280161
41,1383688611.69,567.210206035
41,1383688623.79,566.616705413
42,1383688639.82,565.974221542
43,1383688656.54,568.236728206
44,1383688671.57,568.236728206
45,1383688684.15,567.376108914
46,1383688696.44,567.253054416
47,1383688712.74,567.942120373
47,1383688716.75,566.946405758
48,1383688730.9,567.769956893
49,1383688742.95,567.315140455
50,1383688746.97,567.634732349
50,1383688762.01,567.754579308
51,1383688777.04,567.499468334
51,1383688777.04,567.096827379
53,1383688807.14,567.274499043
54,1383688819.17,567.196636099
55,1383688831.21,566.937493974
55,1383688835.23,566.937493974
56,1383688850.24,567.139601806
56,1383688854.26,567.812144998
57,1383688862.5,567.812144998
58,1383688879.31,567.607780395
59,1383688895.36,567.611528985
60,1383688907.91,567.524702049
61,1383688923.95,568.324205532
62,1383688936.29,569.123621515
63,1383688944.92,568.778664354
63,1383688953.35,568.73830763
64,1383688970.17,570.505259653
66,1383688998.45,570.818980512
67,1383689011.43,570.516598938
67,1383689015.45,569.986204631
68,1383689031.49,569.701871878
69,1383689043.53,569.470433385
70,1383689060.57,569.480069428
71,1383689073.63,569.450420387
71,1383689077.66,569.820279775
72,1383689092.66,569.838751545
73,1383689092.67,569.847987431
73,1383689101.53,569.843369488
74,1383689105.54,569.843369488
74,1383689122.58,570.309452418
75,1383689137.04,570.124988322
76,1383689149.56,570.696149289
77,1383689161.6,570.75153171
78,1383689178.46,570.565284155
79,1383689194.5,570.414607025
80,1383689207.46,570.611045332
81,1383689223.76,570.524266473
82,1383689239.79,570.492989705
83,1383689256.2,570.779966079
84,1383689272.26,570.679212551
85,1383689285.65,570.588001458
86,1383689297.69,570.588001458
88,1383689328.78,570.488973577
89,1383689341.67,570.441894346
90,1383689360.72,570.41859964
91,1383689373.76,570.420431539
92,1383689389.81,570.475579092
93,1383689405.85,570.479693844
94,1383689421.9,570.58927755
95,1383689434.22,570.729257676
96,1383689450.55,570.769359445
97,1383689462.58,570.901883858
98,1383689478.8,570.997708739
99,1383689484.68,570.915155192
99,1383689492.71,570.915155192
