epoch,time,state
1,1382475527.08,580
2,1382475544.13,505
3,1382475556.17,503
4,1382475572.57,496
5,1382475588.61,494
6,1382475600.77,455
7,1382475619.71,467
8,1382475619.71,472
8,1382475632.27,474
9,1382475650.81,474
10,1382475662.84,460
11,1382475675.85,457
12,1382475679.87,459
12,1382475694.92,459
13,1382475709.96,444
14,1382475721.99,438
15,1382475735.05,450
15,1382475739.06,451
16,1382475751.09,459
17,1382475764.04,454
18,1382475780.09,448
19,1382475797.09,448
20,1382475813.99,447
21,1382475830.98,449
22,1382475845.3,451
23,1382475860.39,450
24,1382475872.42,453
25,1382475884.63,458
26,1382475890.97,456
26,1382475903.76,461
27,1382475916.66,461
28,1382475932.71,460
29,1382475945.32,459
30,1382475964.14,462
31,1382475964.14,460
31,1382475976.57,462
32,1382475993.21,460
33,1382476005.91,459
34,1382476024.3,460
35,1382476024.3,460
35,1382476036.34,462
36,1382476055.39,461
36,1382476055.39,461
38,1382476082.6,460
39,1382476094.65,460
40,1382476113.71,460
41,1382476126.1,460
42,1382476130.66,460
42,1382476139.53,464
43,1382476159.58,463
44,1382476171.62,462
45,1382476187.66,462
46,1382476199.69,462
47,1382476216.64,462
48,1382476232.69,463
49,1382476244.72,462
50,1382476260.76,462
51,1382476279.41,462
52,1382476291.52,465
53,1382476310.13,466
54,1382476319.04,465
55,1382476335.08,464
56,1382476351.13,465
57,1382476367.62,464
58,1382476379.65,464
59,1382476398.71,463
59,1382476398.71,463
60,1382476413.75,464
62,1382476444.31,464
63,1382476456.34,464
64,1382476469.87,463
64,1382476473.89,464
65,1382476486.84,463
66,1382476487.83,463
66,1382476500.49,463
67,1382476519.54,463
68,1382476531.92,463
69,1382476544.65,463
69,1382476548.67,463
70,1382476566.78,463
70,1382476566.78,463
71,1382476575.44,463
72,1382476576.43,463
72,1382476589.29,463
72,1382476593.31,463
73,1382476605.34,463
74,1382476607.67,463
74,1382476621.4,463
74,1382476625.42,464
75,1382476640.46,463
76,1382476653.48,463
77,1382476668.52,463
78,1382476684.57,463
79,1382476696.6,463
80,1382476709.43,463
81,1382476729.48,463
82,1382476741.51,463
83,1382476742.52,463
83,1382476759.24,463
85,1382476789.93,463
86,1382476804.94,463
91,1382476877.13,463
92,1382476893.18,463
93,1382476908.1,463
94,1382476921.09,463
96,1382476955.31,463
98,1382476979.06,463
