epoch,time,state
1,1383699201.0,420.625
2,1383699216.03,521.5625
2,1383699220.04,521.91796875
3,1383699228.23,524.068359375
4,1383699247.29,519.386047363
5,1383699262.26,506.045021057
6,1383699275.52,506.028846204
7,1383699279.53,506.089740008
7,1383699291.56,505.179337565
8,1383699306.61,505.637793167
9,1383699318.67,505.523179267
10,1383699319.94,504.908857298
10,1383699336.0,504.479808582
11,1383699352.06,505.327060623
12,1383699364.09,504.291986471
13,1383699364.75,504.809523547
13,1383699377.14,504.291986471
14,1383699394.87,505.014445433
15,1383699407.82,504.907024526
15,1383699411.82,504.996923972
16,1383699426.31,505.185483594
17,1383699426.31,505.279763405
17,1383699438.35,505.426031964
18,1383699452.3,504.644767459
18,1383699452.44,505.018722685
18,1383699456.46,505.112211492
19,1383699472.53,504.995350484
20,1383699484.79,504.931887499
21,1383699500.86,505.167644872
22,1383699513.72,504.696592174
23,1383699529.79,504.996250568
24,1383699542.23,504.836774379
25,1383699558.44,505.081260685
26,1383699574.47,505.464922138
27,1383699590.52,505.681566869
28,1383699606.59,505.715979443
29,1383699618.63,506.123165406
30,1383699637.83,506.066007091
31,1383699649.88,506.323549795
32,1383699662.52,506.289440486
33,1383699682.61,506.059533707
34,1383699694.66,506.191138628
35,1383699694.67,506.211890778
35,1383699710.73,506.435382953
36,1383699722.77,506.382103928
37,1383699739.76,506.234867594
38,1383699755.81,506.297337994
39,1383699768.54,506.379239996
40,1383699772.55,506.282624672
40,1383699784.59,506.282624672
41,1383699800.93,506.397329857
42,1383699819.99,506.397329857
44,1383699843.09,506.484338368
45,1383699859.18,506.618160054
46,1383699878.23,506.657302253
47,1383699890.7,506.541673979
48,1383699890.93,506.599488116
48,1383699902.96,506.570581047
48,1383699906.98,506.570581047
49,1383699919.03,506.501916331
50,1383699935.09,506.568718231
51,1383699940.78,506.60048188
51,1383699949.04,506.589165726
52,1383699965.95,506.686145096
53,1383699982.0,506.750929969
54,1383699994.49,506.723276522
55,1383700007.09,506.626349804
56,1383700026.15,506.685479294
57,1383700039.06,506.609236944
58,1383700039.07,506.676176509
58,1383700057.32,506.647499447
59,1383700057.33,506.633160915
59,1383700069.37,506.669721741
60,1383700073.39,506.669721741
60,1383700085.42,506.728559784
61,1383700085.44,506.699140762
61,1383700101.77,506.747020577
62,1383700101.77,506.72308067
62,1383700113.81,506.735050623
63,1383700129.93,506.809602588
64,1383700145.16,506.811761982
65,1383700164.22,506.811222134
66,1383700164.22,506.810952209
66,1383700172.75,506.842960519
68,1383700204.31,506.772314068
69,1383700220.5,506.855519042
70,1383700239.55,506.817597246
71,1383700251.6,506.876731644
72,1383700267.66,506.85226814
73,1383700279.72,506.872924455
74,1383700295.76,506.877233482
75,1383700312.01,506.81942861
76,1383700326.05,506.872614306
77,1383700341.06,506.846064793
77,1383700345.07,506.865998595
78,1383700355.11,506.870982046
78,1383700359.14,506.870982046
79,1383700371.18,506.847571581
80,1383700383.22,506.823154934
80,1383700383.23,506.864525073
81,1383700402.28,506.843840004
82,1383700402.28,506.833497469
82,1383700414.32,506.825552456
83,1383700430.39,506.865434458
84,1383700443.17,506.856900078
84,1383700447.18,506.846135366
85,1383700459.41,506.856911002
85,1383700459.41,506.851523184
86,1383700461.24,506.87620682
86,1383700473.69,506.87620682
86,1383700477.69,506.868297411
87,1383700489.73,506.867093822
88,1383700502.45,506.867332674
89,1383700502.64,506.851512199
89,1383700519.71,506.860188798
89,1383700520.7,506.87290147
90,1383700536.74,506.872365291
91,1383700550.83,506.865204687
92,1383700550.83,506.861624385
92,1383700567.23,506.843992515
93,1383700580.01,506.852042775
94,1383700596.05,506.880661242
95,1383700596.05,506.870377139
95,1383700611.62,506.880069555
96,1383700623.65,506.877957074
97,1383700640.58,506.879015567
98,1383700656.63,506.886359224
99,1383700673.97,506.887442095
