epoch,time,state
1,1382479009.09,440
2,1382479014.98,429
2,1382479023.56,541
3,1382479039.6,547
4,1382479055.65,535
5,1382479068.01,488
6,1382479083.03,491
6,1382479087.04,499
7,1382479102.08,499
7,1382479102.09,499
8,1382479114.12,485
9,1382479130.16,464
10,1382479142.19,452
11,1382479159.01,454
12,1382479175.06,454
13,1382479187.79,452
14,1382479193.85,452
14,1382479206.83,453
15,1382479218.86,449
16,1382479234.91,447
17,1382479250.95,447
18,1382479267.0,443
19,1382479279.03,445
20,1382479292.85,439
21,1382479309.68,440
22,1382479325.72,437
23,1382479338.2,435
24,1382479354.23,434
25,1382479370.28,433
26,1382479383.13,433
27,1382479399.44,434
28,1382479415.48,432
29,1382479431.51,429
30,1382479443.54,428
31,1382479461.26,428
32,1382479473.63,428
33,1382479486.54,428
34,1382479502.6,427
35,1382479520.87,428
36,1382479533.3,427
37,1382479549.34,427
38,1382479566.03,426
39,1382479578.06,425
40,1382479595.62,424
41,1382479607.65,424
42,1382479627.72,424
43,1382479639.77,424
44,1382479651.82,424
45,1382479668.79,423
46,1382479684.86,423
47,1382479697.65,423
48,1382479714.98,423
49,1382479731.02,423
50,1382479747.06,423
51,1382479761.15,423
52,1382479776.19,424
53,1382479792.22,423
54,1382479805.15,423
55,1382479821.19,423
56,1382479833.22,423
57,1382479841.23,423
57,1382479849.25,423
58,1382479865.29,423
59,1382479877.33,423
62,1382479923.57,423
63,1382479939.61,423
64,1382479955.72,423
65,1382479971.77,423
66,1382479984.26,423
67,1382480000.31,423
68,1382480013.0,423
69,1382480030.0,423
70,1382480046.05,423
71,1382480058.83,423
72,1382480071.32,423
73,1382480087.78,424
74,1382480103.82,423
75,1382480116.53,423
76,1382480132.58,423
77,1382480148.63,423
78,1382480161.33,423
79,1382480181.39,423
80,1382480193.42,423
81,1382480199.96,423
81,1382480208.01,423
83,1382480239.33,423
84,1382480255.37,423
85,1382480268.17,423
86,1382480284.21,423
87,1382480288.96,423
87,1382480298.14,423
88,1382480314.18,423
89,1382480326.56,423
90,1382480346.64,423
91,1382480358.67,423
92,1382480374.71,423
93,1382480386.75,423
94,1382480406.81,423
95,1382480421.5,423
95,1382480421.5,423
98,1382480466.78,423
