epoch,time,state
1,1382482714.98,410
2,1382482732.06,381
4,1382482759.15,397
5,1382482775.18,404
6,1382482776.23,392
7,1382482803.32,399
8,1382482819.66,404
9,1382482835.71,412
10,1382482847.82,413
11,1382482849.44,412
11,1382482865.47,416
12,1382482878.48,417
13,1382482899.0,419
14,1382482907.34,421
15,1382482924.07,427
16,1382482940.11,429
17,1382482956.15,433
18,1382482972.19,430
19,1382482986.98,429
20,1382483003.73,428
21,1382483015.76,430
22,1382483027.85,429
23,1382483044.04,432
23,1382483048.05,431
24,1382483052.07,430
24,1382483060.27,430
25,1382483076.32,430
27,1382483103.39,430
28,1382483109.63,429
28,1382483119.2,429
29,1382483135.24,429
30,1382483151.29,429
31,1382483163.99,429
32,1382483180.03,429
33,1382483196.07,429
34,1382483212.11,429
35,1382483216.38,429
35,1382483224.41,429
36,1382483240.46,429
37,1382483252.5,429
38,1382483268.55,429
39,1382483268.55,429
39,1382483287.51,429
40,1382483300.44,429
41,1382483316.71,429
43,1382483344.9,429
44,1382483357.76,429
45,1382483377.82,429
46,1382483389.87,429
47,1382483407.22,429
48,1382483423.28,429
49,1382483435.32,429
50,1382483451.37,429
51,1382483463.39,429
52,1382483479.44,429
53,1382483495.48,429
54,1382483511.53,429
55,1382483527.58,429
56,1382483539.6,429
57,1382483555.67,429
58,1382483561.27,429
58,1382483569.28,429
60,1382483600.36,429
61,1382483616.39,429
62,1382483628.44,429
63,1382483644.49,429
64,1382483660.54,429
65,1382483673.36,429
66,1382483693.42,429
67,1382483697.43,429
67,1382483705.46,429
68,1382483717.5,429
69,1382483727.77,429
69,1382483735.8,429
70,1382483747.89,429
71,1382483764.45,429
72,1382483780.49,429
73,1382483796.54,429
74,1382483812.58,429
75,1382483824.61,429
76,1382483840.65,429
77,1382483852.69,429
78,1382483868.73,429
79,1382483875.46,429
79,1382483883.86,429
80,1382483899.92,429
81,1382483915.96,429
82,1382483928.09,429
83,1382483948.15,429
84,1382483962.15,429
85,1382483978.2,429
86,1382483990.79,429
88,1382484019.25,429
89,1382484038.26,429
90,1382484053.3,429
92,1382484080.37,429
93,1382484093.04,429
94,1382484109.1,429
95,1382484123.48,429
95,1382484127.49,429
96,1382484139.52,429
97,1382484155.45,429
98,1382484171.49,429
99,1382484183.52,429
